CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2023,9,10081090,10,434,RJ,1,717600,8,8,45
2023,9,09011110,21,149,SP,1,817800,234,234400,799420
2023,7,10059010,10,728,PR,1,927700,7500000,7500000,2245365
2023,11,07133399,10,756,PR,1,917800,563120,563120,631291
2023,1,09011110,21,251,MG,1,717800,134,134400,625208
2023,5,12019000,21,63,GO,1,817800,64286,64287548,32641718
2023,10,12019000,21,160,GO,1,917800,50814,50814403,26029829
2023,5,10063021,10,741,ES,1,727600,210,210,236
2023,10,12019000,21,160,PA,1,217800,27809,27808198,13351057
2023,2,07133399,10,467,RJ,1,717800,5,5,19
2023,2,10063011,10,301,RJ,1,727600,150,150,140
2023,5,12019000,21,399,BA,1,517800,48849,48849856,26781846
2023,7,09011110,21,160,SP,1,817800,587,587835,2361527
2023,9,07133190,10,77,SC,1,927700,5,5,17
2023,6,09011110,21,249,ES,1,717600,1831,1830280,5213068
2023,8,12019000,21,386,SC,1,927700,9548,9548610,4974351
2023,1,10059010,10,161,MT,1,217800,72643774,72643774,21369065
2023,4,12019000,21,160,MS,1,917800,433347,433339667,237218191
2023,1,07133399,10,467,PE,1,417902,8,8,38
2023,7,09011110,21,87,MG,1,817800,6354,6357520,25852705
2023,8,10059010,10,455,MT,1,817800,17236283,17236283,3977604
2023,2,10059010,10,576,MT,1,917800,747200,747200,535658
2023,4,07133190,10,741,RJ,1,717600,3,3,20
2023,5,12019000,21,63,MT,1,817800,59686,59685017,29636171
2023,10,10059010,10,160,PR,1,817800,40880222,40880222,8883481
2023,5,12019000,21,776,MG,1,817800,81045,81043474,40016164
2023,11,09011110,21,573,MG,1,817800,8707,6830445,23347609
2023,7,12019000,21,776,MT,1,817800,51410,51408422,25146128
2023,11,10051000,10,586,GO,7,917500,648850,648850,2410648
2023,12,10059010,10,59,PA,1,210200,370000,370000,79198
2023,12,10059010,10,399,PR,1,927700,137125113,137125113,29908121
2023,9,10063021,10,580,SP,1,817800,4160,4160,7038
2023,5,09011110,21,87,SP,1,817800,165,165580,631907
2023,7,12019000,21,160,RS,1,1017700,383146,383144906,183594660
2023,10,10059010,10,160,GO,1,817800,466451783,466451783,103386268
2023,2,12019000,21,160,MG,1,917800,16488,16488241,9183177
2023,10,09011110,21,538,MG,1,817800,1030,1031065,3666000
2023,9,09011110,21,249,MG,1,817800,18782,14994559,50178663
2023,2,07133329,10,23,RJ,1,717600,3,3,9
2023,9,10059010,10,399,MS,1,927700,58381046,58381046,12838052
2023,10,10059010,10,240,MT,1,317903,38534429,38534429,8303524
2023,9,10059010,10,858,PR,1,817800,2250685,2250685,524767
2023,7,12019000,21,160,PR,1,1017700,10050,10049529,4981848
2023,11,09011110,21,23,BA,1,517800,151,151200,478961
2023,3,10063019,10,80,SP,1,817800,750,750,131
2023,1,09011110,21,59,ES,1,717800,19,19200,68352
2023,5,09011110,21,455,MG,1,817800,531,530835,2176533
2023,3,09011110,21,386,MG,1,817800,10506,10512714,42282863
2023,11,09011110,21,249,MG,1,817800,20539,18658931,62351923
2023,5,12019000,21,372,PA,1,217800,1965,1965115,1088443
2023,4,12019000,21,160,PR,1,927700,330453,330457197,179644363
2023,6,07134090,10,705,PE,1,417902,25,25,132
2023,2,07131090,10,351,SP,1,917800,3,3,3
2023,8,10063021,10,467,PR,1,927700,200,200,253
2023,8,10059010,10,589,RO,7,230154,748174,748174,133076
2023,2,07082000,10,476,SP,1,817800,30,30,110
2023,9,10059010,10,317,MT,1,217800,55004647,55004647,12027499
2023,8,09011110,21,438,ES,1,817800,294,294000,1030257
2023,9,07133319,10,628,SP,1,817800,11600,11428,15663
2023,9,07131090,10,361,SP,1,917800,33,33,179
2023,5,10063021,10,43,SP,1,817800,250,250,281
2023,6,07133319,10,741,PE,1,417902,15,15,30
2023,9,11042300,10,548,GO,1,917800,110000,110000,56006
2023,4,09011110,21,149,MG,1,817800,967,969140,3921434
2023,9,07133399,10,476,ES,1,727600,41,41,165
2023,11,10051000,10,169,MG,4,817700,954,954,954
2023,11,12019000,21,383,MT,1,227600,17911,17910943,8636180
2023,9,09011110,21,190,MG,1,817800,4150,4167328,14903966
2023,10,10059010,10,160,PR,1,927700,286227383,286227383,62459983
2023,3,10059010,10,399,GO,1,917800,3514988,3514988,1037640
2023,3,10059010,10,190,SP,1,917800,3775298,3775298,1141438
2023,11,07134090,10,351,SP,1,817800,72,72,397
2023,3,09011110,21,442,MG,1,717800,26,26432,101763
2023,3,07134090,10,163,SP,1,817800,5,5,27
2023,8,12019000,21,160,MT,1,1017700,87502,87498266,43231840
2023,3,10059010,10,647,MT,1,210200,28133601,28133601,8147210
2023,1,10059010,10,372,MT,1,917800,30946187,30946187,9406711
2023,7,07136090,10,77,PA,1,217800,35,35,101
2023,4,09011110,21,603,MG,1,817800,303,302975,1178203
2023,8,12019000,21,160,SC,1,927700,80978,80978868,40226231
2023,12,09011110,21,556,ES,1,717800,1636,79200,188496
2023,9,09011110,21,827,MG,1,717600,941,941445,3043689
2023,11,09011110,21,275,MG,1,817800,2646,2647775,8730936
2023,5,07133319,10,741,SP,1,817800,22,22,55
2023,5,09011110,21,399,MG,1,817800,5684,5689137,21626452
2023,7,10059010,10,399,MG,1,917800,2555,2555,681
2023,3,09011110,21,160,MG,1,817800,2839,2844035,9553339
2023,7,12019000,21,249,MT,1,227600,64770,64768505,31678771
2023,7,09011110,21,87,SP,1,817800,637,637775,2860460
2023,3,09011110,21,23,MG,1,717800,447,446325,1718593
2023,12,09011110,21,87,ES,1,717600,3515,3512007,8246038
2023,9,12019000,21,160,MG,1,727600,111938,111938905,60023251
2023,3,12019000,21,81,SP,1,927700,1898,1898390,1047376
2023,4,07134090,10,741,RJ,1,717800,5,5,34
2023,3,07134090,10,467,ES,1,727600,1,1,4
2023,10,10061092,10,476,AM,1,227600,270,270,367
2023,2,10063019,10,80,SP,1,917800,500,500,143
2023,11,10063021,10,199,RS,1,1017700,20147000,20147000,13363999
2023,9,10059010,10,245,MT,1,217800,126209015,126209015,28793658
2023,8,12019000,21,160,MS,1,927700,128869,128866310,63043829
2023,9,07133190,10,232,RJ,1,717800,4,4,24
2023,4,10059010,10,80,MT,1,917800,26000,26000,20490
2023,7,09011110,21,498,MG,1,717600,290,290400,1006896
2023,3,07081000,10,351,RS,1,1017700,30,30,72
2023,3,12019000,21,607,MT,1,217800,61838,61835734,35014357
2023,4,12019000,21,776,MG,1,817800,31986,31985583,16919821
2023,12,10061092,10,301,AM,1,227600,50,50,88
2023,10,09011110,21,169,SP,1,817800,53,52800,161456
2023,8,07133399,10,87,SP,1,817800,24,24,62
2023,2,07081000,10,467,SP,1,817800,10,10,65
2023,3,10059010,10,647,MT,1,240152,1306150,1306150,396142
2023,9,10063011,10,741,MA,1,317903,310,310,318
2023,3,07133319,10,580,RS,1,1017700,23,23,119
2023,2,12019000,21,161,MT,1,817800,32920,32920718,19628495
2023,7,09011110,21,69,SP,1,817800,84,84775,328810
2023,1,09011110,21,399,MG,1,817800,74386,6178006,22262547
2023,9,10059010,10,607,SC,1,917800,130000,130000,96856
2023,4,10063021,10,87,MG,1,817800,3780,3780,5456
2023,2,09011110,21,198,MG,1,817800,77,78000,408988
2023,3,07081000,10,538,SC,1,917800,10,10,5
2023,6,12019000,21,160,SC,1,1017700,8191,8189941,4053795
2023,1,10063021,10,127,RS,1,1017700,146100,146100,92642
2023,1,12019000,21,776,BA,1,517800,70763,70763241,42816315
2023,12,07134090,10,301,PR,1,917800,25,25,70
2023,1,09011110,21,548,SP,1,817800,98,98375,471102
2023,8,07134090,10,741,SP,1,817800,30,30,220
2023,9,12019000,21,160,PA,1,217800,1925,1925494,983928
2023,5,07133110,10,399,AL,1,517800,10,10,38
2023,9,07133319,10,476,MA,1,317903,15,15,26
2023,3,09011110,21,17,MG,1,917800,19,19200,80278
2023,9,12019000,21,160,GO,1,917800,119746,119744322,63244687
