,Código,Descrição
146,920102,0920102 - CRICIUMA
147,920200,0920200 - JOINVILLE
148,920203,0920203 - JARAGUA DO SUL
149,927501,0927501 - IRF - AEROPORTO INTERNACIONAL DE FLORIANÓPOLIS
150,927502,0927502 - IRF - IMBITUBA
151,927600,0927600 - AEROPORTO DE FLORIANOPOLIS
152,927601,0927601 - IMBITUBA
153,927700,0927700 - PORTO DE SAO FRANCISCO DO SUL
154,927800,0927800 - ITAJAI
155,927900,0927900 - ALF - DIONÍSIO CERQUEIRA
156,1010103,1010103 - GUAIBA
157,1010151,1010151 - TRAMANDAI
158,1010200,1010200 - PELOTAS
159,1010252,1010252 - JAGUARAO
160,1010253,1010253 - BAGE
161,1010300,1010300 - SANTA MARIA
162,1010600,1010600 - CAXIAS DO SUL
163,1010700,1010700 - NOVO HAMBURGO
164,1010851,1010851 - PORTO MAUA
165,1010852,1010852 - PORTO XAVIER
166,1011100,1011100 - SANTA CRUZ DO SUL
167,1017500,1017500 - ALF - URUGUAIANA
168,1017501,1017501 - IRF - ITAQUI
169,1017502,1017502 - IRF - QUARAÍ
170,1017503,1017503 - IRF - SÃO BORJA
171,1017551,1017551 - ARF - BARRA DO QUARAÍ
172,1017700,1017700 - PORTO DE RIO GRANDE
173,1017701,1017701 - IRF - CHUÍ
174,1017800,1017800 - ALF - PORTO ALEGRE
175,1017801,1017801 - IRF - AEROPORTO INTERNACIONAL SALGADO FILHO
176,1017900,1017900 - ALF - SANTANA DO LIVRAMENTO
177,815400,0815400 - NAO INFORMADO
178,9999999,9999999 - NAO INFORMADO
179,147851,0147851 - ARF - BELA VISTA
180,812200,0812200 - ARARAQUARA
181,215200,0215200 - MONTE DOURADO
182,220101,0220101 - ITACOATIARA
183,510102,0510102 - CAMACARI
184,130101,0130101 - ALTO ARAGUAIA
185,812700,0812700 - SAO SEBASTIAO
186,1015400,1015400 - PORTO ALEGRE
187,317800,0317800 - PORTO DE PECEM
188,910152,0910152 - ANTONINA
189,1010951,1010951 - ITAQUI
190,417700,0417700 - AEROPORTO GUARARAPES
191,210251,0210251 - OBIDOS
192,920351,0920351 - DIONISIO CERQUEIRA
193,920205,0920205 - RIO DO SUL
194,1010955,1010955 - QUARAI
195,1011000,1011000 - SANTANA DO LIVRAMENTO
196,910602,0910602 - MARECHAL CANDIDO RONDON
197,410300,0410300 - PETROLINA
198,8110000,8110000 - NAO INFORMADO
199,920251,0920251 - SAO FRANCISCO DO SUL
200,0,0000000 - NAO INFORMADO
201,327600,0327600 - PORTO DE SAO LUIS
202,140251,0140251 - BELA VISTA
203,145100,0145100 - MUNDO NOVO
204,811201,0811201 - AMERICANA
205,217601,0217601 - AEROPORTO INTERNAC. DE BELEM (PA)
206,210106,0210106 - BREVES
207,210151,0210151 - BARCARENA
208,615100,0615100 - IRF/BELO HORIZONTE - MG
209,140151,0140151 - BELA VISTA
210,145352,0145352 - PORTO MURTINHO
211,915200,0915200 - CURITIBA
212,1011052,1011052 - QUARAI
213,920600,0920600 - ITAJAI
214,1015300,1015300 - CHUI
215,920151,0920151 - IMBITUBA
216,210400,0210400 - MONTE DOURADO
217,1010703,1010703 - MONTENEGRO
218,325100,0325100 - PORTO DE SAO LUIS
219,1015600,1015600 - SANTANA DO LIVRAMENTO
220,317600,0317600 - PORTO DE FORTALEZA
221,925200,0925200 - FLORIANOPOLIS
222,1010954,1010954 - BARRA DO QUARAI
223,417800,0417800 - PORTO DE SUAPE
224,1010104,1010104 - SANTA CRUZ DO SUL
225,515100,0515100 - ILHEUS
226,420153,0420153 - AREIA BRANCA
227,910351,0910351 - SANTO ANTONIO DO SUDOESTE
228,517600,0517600 - PORTO DE SALVADOR
229,1011200,1011200 - CHUI
230,1010500,1010500 - RIO GRANDE
231,317700,0317700 - AEROPORTO INTERNACIONAL PINTO MARTINS
232,917601,0917601 - ANTONINA
233,1011051,1011051 - BAGE
234,810603,0810603 - CUBATAO
235,140152,0140152 - PORTO MURTINHO
236,1011001,1011001 - DOM PEDRITO
237,925100,0925100 - ITAJAI
238,910652,0910652 - SANTA HELENA
239,920153,0920153 - AEROP. INTERNAC. HERCILIO LUZ (SC)
240,715300,0715300 - ANGRA DOS REIS
241,710451,0710451 - MACAE
242,140252,0140252 - PORTO MURTINHO
243,145200,0145200 - CORUMBA
244,517601,0517601 - AEROP. INTERN. DOIS DE JULHO (BA)
245,517700,0517700 - AEROPORTO INTERNACIONAL DE SALVADOR DEP. LUIS EDUARDO
246,517602,0517602 - PORTO DE ARATU
247,317601,0317601 - AEROP. INTERN. PINTO MARTINS (CE)
248,420151,0420151 - AREIA BRANCA
249,910700,0910700 - PARANAGUA
250,145300,0145300 - PONTA PORA
251,917801,0917801 - ANTONINA
252,220152,0220152 - TABATINGA
253,915100,0915100 - ANTONINA
254,910651,0910651 - GUAIRA
255,715500,0715500 - MACAE
256,910751,0910751 - ANTONINA
257,910151,0910151 - SAO JOSE DOS PINHAIS
258,317602,0317602 - PECEM
259,910601,0910601 - MEDIANEIRA
260,1010953,1010953 - SAO BORJA
261,217600,0217600 - PORTO DE BELEM
262,1015500,1015500 - CHUI
263,910600,0910600 - FOZ DO IGUACU
264,1010900,1010900 - URUGUAIANA
265,917600,0917600 - PORTO DE PARANAGUA
266,815300,0815300 - SAO SEBASTIAO
267,715400,0715400 - RIO DE JANEIRO
268,415100,0415100 - IRF/RECIFE
269,1017600,1017600 - AEROPORTO SALGADO FILHO - PORTO ALEGRE
270,510600,0510600 - ILHEUS
271,230151,0230151 - BRASILEIA
272,217700,0217700 - AEROPORTO INTERNACIONAL DE BELEM
273,925251,0925251 - IMBITUBA
274,917700,0917700 - AEROPORTO INTERN. AFONSO PENA (PR)
275,145351,0145351 - BELA VISTA
276,217602,0217602 - BARCARENA
277,1010109,1010109 - NAO INFORMADO
