CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2025,6,10063021,10,607,RS,1,1017700,46080,46080,42830
2025,3,15071000,21,361,MT,1,927700,9554,9553820,9374099
2025,1,10063019,10,476,PA,1,217800,180,180,168
2025,5,12019000,21,628,PA,1,210200,12573,12573060,4767830
2025,6,23040090,21,246,RS,1,1017700,30403,30402743,9980911
2025,4,15079011,21,199,PR,1,917800,351,350467,487208
2025,1,10063011,10,467,AL,1,440151,100,100,223
2025,6,12019000,21,160,MA,1,517800,7200,7200000,2855304
2025,3,15079019,21,476,RJ,1,717600,0,54,145
2025,1,23040090,21,670,MT,1,917800,6528,6528452,2050564
2025,1,10059010,10,372,SP,1,817800,29858002,29858002,6419044
2025,2,12019000,21,160,SC,1,917800,2680,2680675,1097745
2025,2,23040090,21,386,BA,1,517800,2500,2500000,833900
2025,5,10063021,10,301,SC,1,927700,100,100,20
2025,5,12019000,21,59,RO,1,227600,57500,57500844,21612731
2025,6,12019000,21,369,SC,1,917800,248,247584,98231
2025,1,10063021,10,183,RS,1,1017700,20,20,107
2025,4,15079011,21,741,RJ,1,717600,0,162,427
2025,6,23040090,21,23,BA,1,517800,47541,47540780,15223509
2025,4,10063021,10,476,PE,1,417900,200,200,379
2025,5,15079019,21,467,RS,1,1017700,0,36,157
2025,6,23040090,21,246,PR,1,917800,1564,1563977,511681
2025,4,10061092,10,199,SP,1,817800,3850,3850,6742
2025,3,15079011,21,434,AL,1,517800,0,50,90
2025,1,10063021,10,741,RJ,1,717800,15,15,74
2025,3,15079019,21,97,SP,7,147600,12,11600,16472
2025,2,23040010,21,169,MG,1,717600,184,183750,130638
2025,1,10063029,10,271,SP,1,817800,250,250,236
2025,5,15079011,21,580,SP,1,817800,0,120,1179
2025,4,12019000,21,190,GO,1,927700,29499,29499629,11494511
2025,1,10063021,10,845,SP,1,717600,180,180,299
2025,2,12019000,21,81,GO,1,917800,9791,9790148,3806227
2025,5,12019000,21,245,MT,1,317903,20289,20288318,7730684
2025,6,15079011,21,580,PR,1,917800,79,79438,103382
2025,3,23040090,21,275,MS,1,917800,2706,2706123,870933
2025,5,12019000,21,776,MG,1,817800,12251,12250778,4696134
2025,3,23040090,21,603,MT,1,917800,22094,22093140,7261724
2025,1,10059010,10,589,GO,1,927700,3211809,3211809,633068
2025,6,12019000,21,827,MT,1,210200,120283,120286644,47934154
2025,3,12019000,21,160,MS,1,927700,219295,219294364,85252283
2025,5,12019000,21,386,MT,1,227600,30350,30349747,11295199
2025,1,10059010,10,476,PR,1,927700,5,5,36
2025,2,12019000,21,161,MT,1,817800,32100,32100000,13658199
2025,1,10062010,10,845,SP,1,717600,25,25,33
2025,3,15071000,21,361,MS,1,917800,5872,5872565,6170147
2025,3,12019000,21,240,MA,1,317903,31875,31874535,12720037
2025,5,12019000,21,386,MT,1,240152,45175,45175724,17873849
2025,6,10063021,10,538,CE,1,317900,400,400,555
2025,3,12019000,21,160,GO,1,817800,1469059,1469064704,568853948
2025,6,12019000,21,160,BA,1,517800,334026,334023970,133241840
2025,5,23040090,21,232,MT,1,227600,57221,57219900,18321242
2025,6,10059010,10,476,PR,1,917800,5,5,15
2025,4,12019000,21,576,TO,1,317903,34150,34149809,13010288
2025,5,12019000,21,160,MT,1,917800,62343,62343475,24539361
2025,2,10063021,10,538,ES,1,717600,24,24,238
2025,5,12019000,21,858,MT,1,317903,8368,8368122,3212015
2025,5,10063011,10,351,PR,1,917800,650,650,712
2025,1,23040090,21,365,MT,1,817800,156303,156302601,58236502
2025,4,12019000,21,160,SP,1,917800,180975,180978459,70790018
2025,2,10059010,10,289,MT,1,817800,101606,101606,54991
2025,4,12019000,21,399,GO,1,817800,49465,49465142,18843979
2025,1,10063021,10,77,ES,1,727600,410,410,660
2025,3,15079011,21,476,SC,1,917800,0,54,133
2025,1,23040090,21,386,RS,1,1017700,59461,59460000,20485306
2025,4,12019000,21,576,MA,1,317903,66614,66613883,25692092
2025,1,10059010,10,240,PI,1,317903,29058596,29058596,5975751
2025,1,10051000,10,275,PE,4,817600,4,4,39
2025,6,12019000,21,160,RS,1,1017700,654936,654936400,262544637
2025,3,12019000,21,776,SP,1,917800,7266,7265863,2797840
2025,3,10063021,10,301,RJ,1,717600,195,195,323
2025,6,10063021,10,741,SP,1,812051,155,155,212
2025,1,10059010,10,589,MT,7,230154,448000,448000,83776
2025,6,10059090,10,351,AL,1,517800,30,30,33
2025,2,10061092,10,434,PA,0,210200,50,50,74
2025,2,10063011,10,351,PR,1,917800,300,300,326
2025,1,10059010,10,474,PA,1,210200,161509,161509,35059
2025,1,15079011,21,351,SC,1,927700,90,117,200
2025,3,10059090,10,741,PE,1,417902,10,10,61
2025,2,10063021,10,580,MA,1,317903,920,920,1199
2025,3,15071000,21,361,SP,1,917800,9399,9399981,9711519
2025,4,10063021,10,573,RJ,1,710251,80,80,463
2025,3,12019000,21,160,MT,1,317903,277868,277872777,107692220
2025,4,10059090,10,467,ES,1,727600,15,15,57
2025,5,10062010,10,23,MA,1,317903,30,30,66
2025,1,10059010,10,647,RO,1,227600,15594844,15594844,3319866
2025,6,12019000,21,160,MT,1,927700,40881,40881273,16276739
2025,2,12019000,21,160,SP,1,917800,51164,51162022,20385136
2025,1,10059010,10,245,PR,1,817800,80,80,71
2025,6,15079011,21,434,ES,1,727600,0,322,691
2025,5,12019000,21,776,PI,1,517800,3520,3519989,1387591
2025,2,15079011,21,239,SP,1,817800,10,10309,27391
2025,1,10059010,10,59,MT,1,817800,18700256,18700256,3902276
2025,3,15079019,21,741,RS,1,1017700,0,112,305
2025,3,10063021,10,351,RS,1,1017700,275,275,378
2025,4,23040010,21,365,PR,1,917800,20619,20618680,7017216
2025,2,12019000,21,160,BA,1,517800,182929,182926240,73114395
2025,4,12019000,21,160,TO,1,817800,16426,16426152,6605167
2025,2,12019000,21,160,ND,1,817800,194300,153109360,76554680
2025,4,10063021,10,434,SC,1,917800,1753,1753,5790
2025,4,15079011,21,434,SP,1,817800,96,500,1544
2025,5,23040090,21,190,MS,1,917800,1927,1927476,629841
2025,3,10062020,10,434,ES,1,727600,930,930,1515
2025,1,23040090,21,245,MT,1,917800,27097,27096669,9773353
2025,2,10059010,10,240,ND,1,927700,6000000,1564869,469461
2025,5,12019000,21,160,GO,1,917800,40889,40889469,16061425
2025,1,15079011,21,97,MT,7,250151,50,50108,48522
2025,1,10059010,10,858,ND,1,817800,6000000,1500000,450000
2025,4,10059090,10,580,PR,1,927700,3,3,20
2025,2,10059010,10,474,MT,1,317903,8019217,8019217,1683442
2025,4,10063021,10,77,ES,1,717600,50,50,299
2025,2,15079011,21,467,PR,1,927700,0,60,96
2025,3,12019000,21,160,TO,1,317903,452602,452603558,176773451
2025,6,10062020,10,77,MA,1,317903,60,60,110
2025,5,10063021,10,467,ES,1,727600,250,250,287
2025,5,15079011,21,386,SP,1,812051,0,0,117
2025,1,10059010,10,647,MT,1,227600,37823049,37823049,8033205
2025,5,15079011,21,467,RJ,1,717800,0,65,146
2025,4,10059010,10,372,RO,1,817800,3420384,3420384,907573
2025,1,10063019,10,77,PR,1,917800,310,310,228
2025,1,10063021,10,776,SP,1,717800,514,514,1521
2025,3,23040010,21,776,RS,1,1017700,17000,17000000,5707440
2025,1,15079011,21,476,RJ,1,717600,0,45,96
2025,1,12019000,21,776,MT,1,917800,274,274683,110918
2025,6,10062020,10,455,RJ,1,812051,200,200,374
2025,6,10063029,10,467,SP,1,717600,20,20,118
2025,6,12019000,21,160,PA,1,317903,114687,114684112,45288911
2025,1,10059010,10,240,TO,1,317903,37794843,37794843,8086771
2025,5,12019000,21,160,DF,1,817800,22927,22924957,9132041
2025,4,10063021,10,267,SC,1,917800,550,550,1095
2025,3,10059090,10,580,SC,1,927700,10,10,21
2025,6,10061092,10,776,SP,1,717800,25,25,66
2025,3,10063021,10,589,MT,2,227603,100000,100000,81000
2025,6,15079019,21,163,RS,1,1017700,0,90,463
2025,2,10059010,10,372,GO,1,817800,596714,596714,120484
2025,1,10063021,10,476,SP,1,817800,3818,3818,6346
2025,4,15079011,21,607,RS,1,1017700,0,54,110
2025,6,23040090,21,603,ND,1,817800,25000,25000000,7640130
2025,1,15079019,21,351,RS,1,1017700,0,122,297
2025,5,10063021,10,434,PA,1,217800,200,200,333
2025,2,15079011,21,77,ES,1,717600,0,54,144
2025,6,23040090,21,246,SP,1,917800,2181,2181470,689170
2025,3,12019000,21,160,MS,1,817800,198163,198163990,76072391
2025,4,12019000,21,776,MT,1,317903,10695,10694513,4137134
2025,5,12019000,21,820,PA,1,210200,5000,5000000,1896050
2025,2,15079011,21,573,AL,1,417900,0,36,109
2025,1,23040010,21,69,MT,1,817800,212,211200,219882
2025,6,10063021,10,434,MA,1,317903,555,555,748
2025,5,12019000,21,245,PA,1,217800,112455,112456490,43157388
2025,2,15079011,21,467,ES,1,727600,0,217,449
2025,4,12019000,21,573,MT,1,227600,10807,10806797,3942948
2025,3,15079011,21,607,SP,1,917800,0,0,235
2025,1,10063021,10,301,SP,1,812051,100,100,118
2025,5,10063021,10,199,RS,1,817800,732775,732775,466296
2025,3,15079011,21,77,MA,1,317903,0,0,107
2025,4,12019000,21,245,MT,1,210200,89433,89434382,35069147
2025,3,10063029,10,741,SP,1,817800,270,270,602
2025,6,10061092,10,467,PA,1,217800,100,100,157
2025,4,10059010,10,474,MA,1,317903,3906859,3906859,852444
2025,6,15079011,21,580,ES,1,727600,0,390,1038
2025,2,12019000,21,160,PR,1,917800,651214,651214000,263875623
2025,3,10063021,10,607,BA,1,510353,150,150,184
2025,3,10061092,10,455,SP,1,717600,15,15,132
2025,6,15079011,21,351,RJ,1,717600,0,130,365
2025,1,10059010,10,81,GO,1,817800,52548923,52548923,10271197
2025,5,15079011,21,580,SC,1,927700,0,210,358
2025,3,23040090,21,365,GO,1,817800,46967,46966258,16780401
2025,3,10064000,10,728,MS,1,1017700,459674,459674,193063
2025,4,15079011,21,589,MT,2,227603,150,150323,198677
2025,2,10063021,10,77,MA,1,317903,120,120,109
2025,1,15079011,21,573,ES,1,727600,0,15,31
2025,5,12019000,21,337,RR,7,260152,82,82000,123000
2025,1,23040090,21,365,SP,1,817800,10500,10500000,3621270
2025,5,10061092,10,476,AP,1,240152,280,280,541
2025,6,10051000,10,281,MG,4,817600,3082,3082,32520
2025,5,15079011,21,476,SC,1,927700,0,474,249
2025,3,15079019,21,580,MA,1,317903,0,80,110
2025,3,15079011,21,467,RJ,1,717800,0,18,34
2025,6,10063011,10,149,RS,1,1017700,199680,199680,121800
2025,2,10063011,10,149,RS,1,1017700,149071,149071,116900
2025,3,23040090,21,190,RS,1,1017700,126794,126793158,42538363
2025,6,10059010,10,249,MG,1,817800,1270,1270,2263
2025,4,10051000,10,289,SP,1,817800,227486,227486,691200
2025,3,12019000,21,161,MA,1,317903,12597,12596986,5093465
2025,2,10062020,10,474,SP,1,812051,15590,15590,4825
2025,3,12019000,21,827,MT,1,210200,184509,184510918,71866118
2025,6,10063011,10,77,PR,1,817800,25,25,109
2025,2,12019000,21,160,MA,1,317903,104914,104914153,41298588
2025,6,10063021,10,77,AL,1,440151,150,150,213
